id,menu_name,price,restaurant_id
204,만복뒷고기,13000,107
205,싸이플렉스 버거,7700,108
206,아라비아따치즈 버거,7100,108
207,연어간장밥,10000,109
208,새우간장밥,10000,109
209,연어포케,10000,109
210,빅맥 세트,6100,110
211,맥스파이시 상하이 버거 세트,6100,110
212,아메리카노,1500,111
213,헤이즐넛 아메리카노,2500,111
214,아메리카노,1500,112
215,아이스아메리카노,2000,112
216,아메리카노,3000,112
217,카페라떼,3500,112
218,맥미라떼,6000,114
219,레몬딜케이크,7500,114
220,김치가츠나베,12000,115
221,멘부리벤또,15000,115
222,빠네 파스타,14500,116
223,치즈 피자,14900,116
224,항정살덮밥,9900,117
225,오야꼬동,8900,117
226,소고기쌀국수 R,8500,118
227,묘한 마라전골,16900,119
228,유린기,13900,119
229,왕갈비탕,13000,120
230,진설화생등심,40000,120
231,브리치즈&바질 파스타,22800,121
232,살치살 스테이크,43800,121
233,멸치국수,6000,122
234,비빔국수,6000,122
235,삿포르식 시그니처 프렌치랙,36000,123
236,호르몬나베(한국식),20000,123
237,두부짜글이,8000,124
238,묵은지김치찜,10000,124
239,해물김치전,14000,125
240,칼국수,9000,125
241,브리오슈프렌치토스트,12000,126
242,깻잎페스토 푸질리,13000,126
243,고기국밥,7000,128
244,보쌈정식,9000,128
245,소고기 야채볶음,38000,129
246,탕수육,18000,129
247,볼볼치즈덮밥정식,10000,130
248,토마토치즈고기덮밥정식,9000,130
249,후라이드+양념,24000,131
250,후라이드+간장,24000,131
251,치킨 감자 브리또,6000,132
252,소고기 라이스 브리또,6000,132
253,1인아구찜(계란찜미포함),20900,134
254,1인순살아구찜(동치미.계란찜미포함),23000,134
255,뼈다귀해장국,9000,135
256,뼈다귀전골,43000,135
257,오돌뼈,13000,136
258,순대볶음,13000,136
259,시그니처362+음료,11000,137
260,매콤칠리통새우반미,8000,137
261,마라반,12000,138
262,마라샹궈,15000,138
263,흑삼겹살(국내산/200g),15000,139
264,가정식 아침식사,6000,139
265,마라탕(소),10000,140
266,마라샹궈(소),15000,140
267,마제소바,9900,141
268,돈카츠(등심카츠),10500,141
269,등심+치즈카츠,11500,142
270,안심+안심카츠,12000,142
271,콰트로치즈 큐브스테이크 와퍼 세트,13400,143
272,큐브 스테이크 와퍼 세트,12400,143
273,블랙밀크티,2700,144
274,우롱밀크티,2900,144
275,버터치킨,9800,145
276,프라운 마크니,9800,145
277,순대국,8000,146
278,병천순대,20000,146
279,순대국,8000,146
280,수육,20000,146
281,칼국수,9000,147
282,수제비,9000,147
283,마라부대볶음 시티락,9900,148
284,바싹불고기 시티락,8200,148
285,버섯매운탕칼국수+볶음밥(2인이상),9000,149
286,충청도 석갈비 반상,14900,150
287,전라도 바싹불고기 반상,15900,150
288,전복죽,13000,151
289,낙치김치죽,11000,151
290,봉구가래떡볶이,5000,151
291,봉구시그니처세,18000,151
292,봉구시그니처세트,18000,152
293,봉구가래떡볶이,5000,152
294,봉구스밥버거,3000,153
295,햄밥버거,3800,153
296,닭매운탕,32000,154
297,봉추찜닭 소,22000,154
298,바지락칼국수,6000,155
299,들깨칼국수,7000,155
300,양꼬치,11000,156
301,램커리,9000,157
302,램 도피아자,9000,157
303,설렁탕,8000,158
304,부대찌개,8000,158
305,국물떡볶이,12000,159
306,불고기양념치킨,11000,159
307,백골뱅이 오뎅탕,15000,160
308,위스키하이볼-짐빔,6000,160
309,콜드브루 (500ml),21500,161
310,milk tea (500ml),8500,161
311,아메리카노,4000,162
312,카페라떼,4500,162
313,민트 카페모카,4800,162
314,앗!메리카노(Hot),1500,163
315,앗!메리카노(Iced),2000,163
316,빽's 카페라떼,3000,163
317,열탄 불고기 피자,16900,164
318,산체스 타코 피자,16900,164
319,한중식 뷔페,11000,165
320,우삼겹 한근,13000,166
321,통삼겹살 한,13000,166
322,유자 너비아니,10000,167
323,담양 떡갈비,10000,167
324,전기구이통닭,16000,168
325,후라이드치킨,17000,168
326,아보 명란마요 김밥,5800,169
327,계란김밥+명란마요,5800,169
328,전기구이통닭,16000,169
329,마늘치킨,19000,169
330,닭다리살 스테이크 샐러드,8500,171
331,목살 스테이크 그레인 보울,8700,171
332,오븐닭다리살 포케,12000,172
333,부채살 스테이크 샐러드,12000,172
334,서병장 부대찌개,7500,173
335,서병장 부대볶음,7500,173
336,된장찌개,7000,174
337,제육볶음,8000,174
338,물냉면+숯불고기,9500,175
339,비빔냉면+숯불고기,9500,175
340,고대초밥,11000,176
341,특선초밥,13000,176
342,(포장) 고기만 2인분,13000,177
343,제육볶음,10000,177
344,포장부대찌개 1인분,11000,178
345,소바공방 정식,14000,179
346,안심 카츠,9000,179
347,등심 카츠,9000,179
348,수저가짬뽕,7000,180
349,차돌짬뽕,9000,180
350,가마솥에 오늘삶은 족발(대),38000,181
351,맛있게 맵다 직화 매운족발,40000,181
352,하얀순두부,8000,182
353,들깨순두부,8500,182
354,쉐프's탕수육(소),17000,184
355,김치 치즈 탕수육(소),20000,184
356,김치 치즈 탕수육,20000,184
357,깐풍탕수육,19000,184
358,모듬초밥,10000,185
359,장어덮밥세트,16000,185
360,푸른 용 클래식 밀크 티,6200,186
361,핑크 폼 딸기 라떼,6800,186
362,카페 아메리카노,4500,187
363,카페 아메리카노,4500,188
364,자바 칩 프라푸치노,6300,188
365,시그널표 제육주물럭,13000,189
366,시그널 눈꽃치즈 감자채전,14000,189
367,김치찌개,7000,190
368,생야채비빔밥&된장찌개,7000,190
369,마라탕(기본),6000,191
370,마라샹궈(기본),12000,191
371,부대찌개,8000,192
372,두루치기,8500,192
373,순대국(일반),10000,193
374,직화쭈꾸미비빔밥,13000,193
375,신의주 정식,15000,193
376,해물떡볶이,16000,194
377,명란크림우동,16000,194
378,사이폰 커피,6000,195
379,크로플,7000,195
380,이탈리안 비엠티 (15cm 세트),9300,196
381,에그마요 (15cm 세트),8100,196
382,혼술세트-순살 반마리,7000,197
383,크리스피1/2+양념치킨1/2+감자튀김,19000,197
384,사라하,3800,198
385,하동녹차버블티,3700,198
386,보쌈정식,12000,199
387,제육쌈밥,10000,199
388,에스프레소,3500,200
389,아메리카노,3500,200
390,카라멜 마끼아토,4500,200
391,"낙지 아구찜,탕 중",35000,201
392,낙지 삼겹철판,8000,201
393,안심카츠 정식,12000,202
394,치킨카츠 정식,12000,202
395,인삼닭곰탕,11500,203
396,비빔닭칼국수,9000,203
397,한돈 삼겹살(180g),16000,204
398,한돈 목살(180g),16000,204
399,닭구이,20000,205
400,모듬꼬치,17000,205
401,닭한마리,22000,206
402,능이버섯 닭한마리,37000,206
403,아줌마치킨,29000,207
404,간장갈릭치킨,19000,207
405,필타코 베이글,6300,208
406,크랜베리 베이글,6500,208
407,연어회(소),12000,209
408,연어초밥(10p),13000,209
409,수박쥬스,4000,210
410,딸기라떼,5000,210
411,야마토텐동,10500,211
412,아나고텐동,15000,211
413,모둠수육(2인),32000,212
414,도가니수육,42000,212
415,설렁탕,10000,212
416,자이지파에 덮밥,8500,213
417,홍샤오로우 덮밥,8500,213
418,명란크림파스타,13900,214
419,옛날우동,4500,215
420,역전돈까스,8500,215
421,치즈라볶이,9000,216
422,오징어입,7000,216
423,생연어회(소 230g),21000,217
424,생연어초밥(8p),13000,217
425,마라칼국수,10500,218
426,치즈 바질 감자전 ,15900,218
427,영철버거(스트릿),4700,219
428,영철버거(치즈스트릿),5400,219
429,타코피자(Large 13inch),23900,220
430,베이컨체다(Large 13inch),21900,220
431,우삼겹탕탕나베,16000,221
432,마늘똥집,15000,221
433,짜장면,6500,222
434,짬뽕,7500,222
435,오마카세 런치,19000,223
436,오마케서 디너,29000,223
437,더블가츠동,9000,224
438,믹스동,8000,224
439,돈까스,10000,225
440,생선까스,11000,225
441,오봉스페셜,52000,225
442,(점심)직화제육볶음,9000,225
443,(점심)보쌈정식,10000,225
444,오브쿠키,3000,227
445,바스크치즈케이크,5500,227
446,커리도시락,10500,228
447,탄두리도시락,16000,228
448,꼬막 비빔밥,8000,229
449,비빔국수,6000,229
450,훈제쌈밥정식,8000,230
451,된장찌개,7000,230
452,하얀순두부,8000,231
453,들깨순두부,8000,231
454,얼큰순두부,8000,231
455,와플젤라또set,8000,232
456,아메리카노,4300,232
457,와플세트메뉴,8800,233
458,Single_메이플시나몬,6000,233
459,에스프레소,4300,234
460,아메리카노,4300,234
461,Fresh cream waffle,8000,234
462,고기녹두전,8000,235
463,닭도리탕,15000,235
464,용두동 엽기 쭈꾸미,16000,236
465,엽기무뼈닭발,19000,236
466,꿔보우러우,15800,237
467,지삼선,11000,237
468,돼지불고기,9000,239
469,제육볶음,9000,239
470,런치,25000,240
471,디너 ,35000,240
472,순대국,8000,241
473,얼큰순대국,9000,241
474,꼬치세트,36000,242
475,사시미세트,40000,242
476,청국장,10000,243
477,김치찌개,10000,243
478,치킨 피자 김치떡볶이,25000,244
479,김치떡볶이,13500,244
480,한우생등심,35000,245
481,뚝배기불고기,8000,245
482,물냉면+숯불고기,9000,246
483,비빔냉면+숯불고기,9000,246
484,한우모듬곱창,55000,247
485,한우곱창,19000,247
486,참치폭탄김밥,6500,248
487,돈가스김밥,6500,248
488,굴국밥,7000,249
489,굴떡국,7000,249
490,딸기크로와상,2600,250
491,아메리카노,2000,250
492,오리지날 set,11000,251
493,포테이토피자,16900,252
494,치즈크러스트피자,17900,252
495,전통육개장,10000,253
496,차돌육개장,12000,253
497,달콤 닭강정 L,15000,254
498,매콤 닭강정 L,15000,254
499,인생설렁탕,8500,255
500,사골순대국,9500,255
501,매콤명란파스타,13800,256
502,대파비프 오일파스타,13800,256
503,구름치즈찜닭,26000,257
504,아메리카노,3000,258
505,카페라떼,3500,258
506,매운쟁반짜장(2인분),14000,259
507,새우볶음밥,9000,259
508,짬뽕,8000,259
509,"한우등심(2인분, 360g)",82000,259
510,설렁탕,11000,259
511,한우등심(2인분),82000,260
512,설렁탕,11000,260
513,돌솥왕갈비탕,16000,261
514,돌솥간장게장정식,12000,261
515,오므라이스,8000,262
516,매운 오므라이스,8000,262
517,닭볶음탕(대),30000,263
518,닭발,8000,263
519,직화 매콤 제육 덮밥,10900,264
520,매콤 중화 제육 볶음면(일반),11900,264
